date,open,high,low,close,volume,trading_value,price_change,transactions,cash_dividend,split_ratio,gross_return,total_return_index,adjusted_close,adjustment_factor,adjusted_open,adjusted_high,adjusted_low,split_adjusted_open,split_adjusted_high,split_adjusted_low,split_adjusted_close,nav,issuer_market_price,fund_size,outstanding_units,margin_balance,short_balance,institutional_net,foreign_net,trust_net,dealer_net,official_close,close_difference,institutional_available,distribution_yield_ttm,feature_available_date,official_close_source
2003-06-30,37.1,37.4,36.92,37.08,9930000,367884760,0.12,2047,0.0,1.0,1.0,100.0,4.457126033781695,0.12020296746984077,4.459530093131093,4.495590983372045,4.437893558986522,9.275,9.35,9.23,9.27,36.8,37.08,4268492284.0,116000000.0,2239,0,0.0,0.0,0.0,0.0,37.08,0.0,False,0.0,2003-07-01,TWSE_STOCK_DAY_AVG
2003-07-01,37.09,38.1,37.09,38.05,14290000,536078350,0.97,2223,0.0,1.0,1.0261596548004315,102.61596548004314,4.57372291222744,0.12020296746984076,4.458328063456394,4.579733060600933,4.458328063456394,9.2725,9.525,9.2725,9.5125,37.91,38.05,4397828974.0,116000000.0,3381,250,0.0,0.0,0.0,0.0,38.05,0.0,False,0.0,2003-07-02,TWSE_STOCK_DAY_AVG
2003-07-02,38.17,38.82,38.1,38.69,16232000,625636880,0.64,1906,0.0,1.0,1.016819973718791,104.34196332254584,4.650652811408139,0.12020296746984077,4.588147268323822,4.666279197179219,4.579733060600933,9.5425,9.705,9.525,9.6725,38.62,38.69,4634838345.0,120000000.0,4495,412,0.0,0.0,0.0,0.0,38.69,0.0,False,0.0,2003-07-03,TWSE_STOCK_DAY_AVG
2003-07-03,40.6,40.6,38.81,39.0,16839000,661217150,0.31,2230,0.0,1.0,1.0080124063065392,105.1779935275081,4.687915731323789,0.12020296746984076,4.8802404792755345,4.8802404792755345,4.66507716750452,10.15,10.15,9.7025,9.75,38.89,39.0,4784025944.0,123000000.0,7050,532,0.0,0.0,0.0,0.0,39.0,0.0,False,0.0,2003-07-04,TWSE_STOCK_DAY_AVG
2003-07-04,39.1,39.26,38.75,39.26,12491000,487753800,0.26,1514,0.0,1.0,1.0066666666666666,105.8791801510248,4.719168502865948,0.12020296746984076,4.699936028070773,4.719168502865948,4.657864989456329,9.775,9.815,9.6875,9.815,39.39,39.26,4765997105.0,121000000.0,6933,813,0.0,0.0,0.0,0.0,39.26,0.0,False,0.0,2003-07-07,TWSE_STOCK_DAY_AVG
2003-07-07,39.6,41.0,39.6,41.0,19461000,784967940,1.74,1978,0.0,1.0,1.044319918492104,110.57173678532901,4.928321666263471,0.12020296746984074,4.7600375118056935,4.928321666263471,4.7600375118056935,9.9,10.25,9.9,10.25,40.99,41.0,4591222682.0,112000000.0,5582,973,0.0,0.0,0.0,0.0,41.0,0.0,False,0.0,2003-07-08,TWSE_STOCK_DAY_AVG
2003-07-08,42.0,42.0,40.7,41.19,13945000,575586450,0.19,2296,0.0,1.0,1.0046341463414634,111.08414239482201,4.951160230082741,0.12020296746984077,5.0485246337333125,5.0485246337333125,4.892260776022519,10.5,10.5,10.175,10.2975,41.42,41.19,4679978066.0,113000000.0,7013,1037,0.0,0.0,0.0,0.0,41.19,0.0,False,0.0,2003-07-09,TWSE_STOCK_DAY_AVG
2003-07-09,41.3,41.3,40.81,41.22,8849000,363763270,0.03,1198,0.0,1.0,1.0007283321194465,111.16504854368931,4.954766319106835,0.12020296746984074,4.964382556504423,4.964382556504423,4.905483102444201,10.325,10.325,10.2025,10.305,41.14,41.22,4566136809.0,111000000.0,6812,1056,0.0,0.0,0.0,0.0,41.22,0.0,False,0.0,2003-07-10,TWSE_STOCK_DAY_AVG
2003-07-10,41.2,41.2,40.05,40.05,8603000,348382480,-1.17,1491,0.0,1.0,0.9716157205240175,108.00970873786406,4.8141288471671215,0.12020296746984074,4.952362259757439,4.952362259757439,4.8141288471671215,10.3,10.3,10.0125,10.0125,40.22,40.05,4463884171.0,111000000.0,6823,1021,0.0,0.0,0.0,0.0,40.05,0.0,False,0.0,2003-07-11,TWSE_STOCK_DAY_AVG
2003-07-11,39.6,39.97,39.3,39.91,7019000,277417400,-0.14,1404,0.0,1.0,0.9965043695380774,107.6321467098166,4.797300431721344,0.12020296746984074,4.7600375118056935,4.804512609769534,4.7239766215647405,9.9,9.9925,9.825,9.9775,39.91,39.91,4389608531.0,110000000.0,7453,842,0.0,0.0,0.0,0.0,39.91,0.0,False,0.0,2003-07-14,TWSE_STOCK_DAY_AVG
2003-07-14,39.95,41.0,39.92,40.66,10771000,436827930,0.75,1400,0.0,1.0,1.0187922826359308,109.65480043149944,4.887452657323724,0.12020296746984074,4.802108550420138,4.928321666263471,4.798502461396042,9.9875,10.25,9.98,10.165,40.86,40.66,4412411885.0,108000000.0,7210,879,0.0,0.0,0.0,0.0,40.66,0.0,False,0.0,2003-07-15,TWSE_STOCK_DAY_AVG
2003-07-15,40.7,40.86,40.19,40.19,9432000,383346040,-0.47,1101,0.0,1.0,0.9884407279881948,108.38727076591152,4.830957262612898,0.12020296746984072,4.892260776022518,4.911493250817691,4.830957262612898,10.175,10.215,10.0475,10.0475,40.63,40.19,4225978401.0,104000000.0,7087,1087,0.0,0.0,0.0,0.0,40.19,0.0,False,0.0,2003-07-16,TWSE_STOCK_DAY_AVG
2003-07-16,40.5,40.98,40.24,40.85,6798000,276893690,0.66,957,0.0,1.0,1.016421995521274,110.16720604099244,4.9102912211429945,0.12020296746984074,4.8682201825285505,4.925917606914073,4.836967410986392,10.125,10.245,10.06,10.2125,41.23,40.85,4246233881.0,103000000.0,7123,1120,0.0,0.0,0.0,0.0,40.85,0.0,False,0.0,2003-07-17,TWSE_STOCK_DAY_AVG
2003-07-17,40.5,40.65,39.8,39.8,9924000,399015080,-1.05,1187,0.0,1.0,0.9742962056303549,107.33549083063645,4.7840781052996615,0.12020296746984074,4.8682201825285505,4.886250627649026,4.7840781052996615,10.125,10.1625,9.95,9.95,40.18,39.8,4018080492.0,100000000.0,6331,1105,0.0,0.0,0.0,0.0,39.8,0.0,False,0.0,2003-07-18,TWSE_STOCK_DAY_AVG
2003-07-18,39.78,39.98,39.55,39.92,7220000,287078070,0.12,1032,0.0,1.0,1.0030150753768845,107.65911542610571,4.798502461396042,0.12020296746984073,4.781674045950265,4.805714639444232,4.754027363432201,9.945,9.995,9.8875,9.98,40.07,39.92,3927127660.0,98000000.0,5881,1142,0.0,0.0,0.0,0.0,39.92,0.0,False,0.0,2003-07-21,TWSE_STOCK_DAY_AVG
2003-07-21,40.0,40.25,39.4,39.4,6715000,267154330,-0.52,993,0.0,1.0,0.9869739478957915,106.25674217907226,4.735996918311725,0.12020296746984076,4.80811869879363,4.8381694406610904,4.735996918311725,10.0,10.0625,9.85,9.85,39.43,39.4,3863872943.0,98000000.0,6356,1157,0.0,0.0,0.0,0.0,39.4,0.0,False,0.0,2003-07-22,TWSE_STOCK_DAY_AVG
2003-07-22,39.41,39.98,39.41,39.98,9169000,363490990,0.58,737,0.0,1.0,1.0147208121827411,107.82092772384033,4.805714639444233,0.12020296746984074,4.737198947986423,4.805714639444233,4.737198947986423,9.8525,9.995,9.8525,9.995,39.82,39.98,3902507712.0,98000000.0,6229,1148,0.0,0.0,0.0,0.0,39.98,0.0,False,0.0,2003-07-23,TWSE_STOCK_DAY_AVG
