month,oracle_date,oracle_open,oracle_adjusted_open,oracle_trading_day,days_in_month
2003-07,2003-07-01,37.09,4.458328063456394,1,23
2003-08,2003-08-11,39.9,4.796098402046643,7,21
2003-09,2003-09-16,44.6,5.361052349154893,11,21
2003-10,2003-10-01,44.51,5.350234082082608,1,22
2003-11,2003-11-21,45.3,5.445194426383781,15,20
2003-12,2003-12-01,45.0,5.40913353614283,1,23
2004-01,2004-01-02,46.14,5.546164919058448,1,15
2004-02,2004-02-05,47.3,5.68560036132346,4,20
2004-03,2004-03-23,44.5,5.349032052407909,17,23
2004-04,2004-04-30,48.35,5.811813477166793,22,22
2004-05,2004-05-18,41.1,4.940341963010449,12,21
2004-06,2004-06-15,42.2,5.072565227227277,11,21
2004-07,2004-07-27,41.19,4.951160230082736,19,22
2004-08,2004-08-04,41.5,4.988423149998385,3,20
2004-09,2004-09-06,44.7,5.373072645901875,4,21
2004-10,2004-10-27,44.22,5.315375221516353,18,20
2004-11,2004-11-02,44.31,5.32619348858864,2,22
2004-12,2004-12-01,45.41,5.458416752805465,1,23
2005-01,2005-01-25,45.38,5.454810663781371,17,21
2005-02,2005-02-01,47.1,5.661559767829496,1,13
2005-03,2005-03-30,46.16,5.548568978407845,22,23
2005-04,2005-04-21,44.21,5.314173191841657,14,20
2005-05,2005-05-04,45.89,5.516114177190989,2,21
2005-06,2005-06-02,45.2,5.65466756594857,2,22
2005-07,2005-07-08,46.9,5.867343115995305,6,20
2005-08,2005-08-31,46.8,5.85483278952197,22,22
2005-09,2005-09-27,46.09,5.766009471561276,18,21
2005-10,2005-10-21,44.35,5.548329790925204,14,20
2005-11,2005-11-02,45.52,5.694700610663254,2,22
2005-12,2005-12-01,48.79,6.103788286341391,1,22
2006-01,2006-01-03,50.45,6.311459705798796,2,18
2006-02,2006-02-06,51.55,6.449073297005506,2,17
2006-03,2006-03-24,50.4,6.305204542562125,18,23
2006-04,2006-04-03,52.8,6.605452377922227,1,19
2006-05,2006-05-23,53.25,6.661748847052246,16,21
2006-06,2006-06-14,49.65,6.211377094012095,10,22
2006-07,2006-07-18,49.8,6.230142583722101,12,21
2006-08,2006-08-07,51.35,6.424052644058832,5,23
2006-09,2006-09-01,54.15,6.774341785312287,1,21
2006-10,2006-10-02,56.45,7.06207929419905,1,20
2006-11,2006-11-02,53.15,7.145450350472857,2,22
2006-12,2006-12-13,55.0,7.394163109614436,9,21
2007-01,2007-01-12,56.7,7.622709969366153,9,22
2007-02,2007-02-13,56.9,7.649597835219294,9,12
2007-03,2007-03-06,53.55,7.199226082179144,5,23
2007-04,2007-04-03,56.65,7.615988002902862,2,20
2007-05,2007-05-02,56.9,7.649597835219293,1,22
2007-06,2007-06-01,59.75,8.032749923626579,1,20
2007-07,2007-07-30,64.45,8.66461477117545,21,22
2007-08,2007-08-17,59.6,8.012584024236723,13,23
2007-09,2007-09-06,64.5,8.671336737638732,4,18
2007-10,2007-10-22,69.5,9.343533383967314,15,22
2007-11,2007-11-27,60.4,8.419992780398523,19,22
2007-12,2007-12-18,56.4,7.862377364478091,12,21
2008-01,2008-01-31,54.8,7.639331198109915,22,22
2008-02,2008-02-12,55.15,7.688122547002952,2,14
2008-03,2008-03-17,57.25,7.980870640361182,11,21
2008-04,2008-04-01,60.8,8.475754321990568,1,21
2008-05,2008-05-27,61.75,8.608187983271666,18,21
2008-06,2008-06-27,55.0,7.667211968905938,20,21
2008-07,2008-07-16,50.2,6.99807346980142,12,22
2008-08,2008-08-01,51.7,7.207179250771582,1,21
2008-09,2008-09-30,43.34,6.041763031497879,21,21
2008-10,2008-10-28,30.0,4.440749856843141,19,22
2008-11,2008-11-21,29.1,4.307527361137847,15,20
2008-12,2008-12-05,30.08,4.45259185646139,5,23
2009-01,2009-01-21,30.4,4.499959854934381,15,15
2009-02,2009-02-02,30.38,4.496999355029819,1,20
2009-03,2009-03-04,31.51,4.664267599637577,3,22
2009-04,2009-04-01,37.09,5.490247073010404,1,22
2009-05,2009-05-15,43.9,6.498297290513797,10,18
2009-06,2009-06-19,42.75,6.328068546001478,16,23
2009-07,2009-07-01,44.48,6.5841517877461015,1,23
2009-08,2009-08-27,47.64,7.051910772666917,18,20
2009-09,2009-09-01,48.45,7.171811018801682,1,22
2009-10,2009-10-06,52.65,7.793515998759716,4,22
2009-11,2009-11-02,50.8,7.660884213129275,1,21
2009-12,2009-12-01,52.7,7.947413347084899,1,23
2010-01,2010-01-29,52.95,7.985114548921168,20,20
2010-02,2010-02-06,50.8,7.660884213129282,6,14
2010-03,2010-03-01,51.5,7.766447578270827,1,23
2010-04,2010-04-20,53.9,8.128379115898978,13,21
2010-05,2010-05-27,49.32,7.437693098258586,19,21
2010-06,2010-06-10,48.18,7.265775617885213,8,21
2010-07,2010-07-02,49.1,7.404516040642672,2,22
2010-08,2010-08-27,53.6,8.083137673695468,20,22
2010-09,2010-09-01,53.5,8.068057192960966,1,21
2010-10,2010-10-20,55.8,8.414908249854614,14,21
2010-11,2010-11-16,56.1,8.791920268217273,12,22
2010-12,2010-12-01,57.1,8.948638989575867,1,23
2011-01,2011-01-11,59.7,9.35610766510822,7,20
2011-02,2011-02-24,59.0,9.246404560157202,13,14
2011-03,2011-03-17,56.8,8.901623373168288,13,23
2011-04,2011-04-19,59.35,9.30125611263271,11,19
2011-05,2011-05-25,60.1,9.418795153651656,17,21
2011-06,2011-06-27,57.5,9.011326478119305,18,21
2011-07,2011-07-13,58.65,9.191553007681687,9,21
2011-08,2011-08-09,51.0,7.992654789288428,7,23
2011-09,2011-09-26,50.25,7.875115748269482,17,21
2011-10,2011-10-04,49.9,7.820264195793973,2,20
2011-11,2011-11-24,47.8,7.771265178502471,18,22
2011-12,2011-12-20,47.05,7.6493311014339165,14,22
2012-01,2012-01-02,49.45,8.03952014805329,1,15
2012-02,2012-02-01,52.2,8.486611763971318,1,20
2012-03,2012-03-07,54.0,8.779253548935849,6,23
2012-04,2012-04-30,52.1,8.470353887028844,20,20
2012-05,2012-05-28,49.01,7.967985489506407,19,22
2012-06,2012-06-12,48.1,7.820038809329894,8,21
2012-07,2012-07-25,48.82,7.937095523315704,18,22
2012-08,2012-08-03,50.75,8.250872548305448,2,22
2012-09,2012-09-06,52.3,8.502869640913794,4,20
2012-10,2012-10-29,49.99,8.422126967161356,20,22
2012-11,2012-11-14,49.95,8.41538791777775,10,22
2012-12,2012-12-22,52.6,8.861849939441633,16,21
2013-01,2013-01-25,53.65,9.038749985761283,18,22
2013-02,2013-02-01,54.7,9.215650032080942,1,13
2013-03,2013-03-22,54.2,9.131411914785875,16,21
2013-04,2013-04-16,53.5,9.013478550572776,10,20
2013-05,2013-05-02,56.35,9.493635819154692,1,22
2013-06,2013-06-25,53.3,8.979783303654745,16,19
2013-07,2013-07-01,54.8,9.23249765553996,1,23
2013-08,2013-08-22,54.3,9.148259538244892,15,21
2013-09,2013-09-02,55.95,9.426245325318632,1,20
2013-10,2013-10-01,57.0,9.603145371638282,1,22
2013-11,2013-11-22,55.5,9.569772147062643,16,21
