date,open,high,low,close,adj_close,volume,adjustment_factor,adjusted_open,adjusted_high,adjusted_low,adjusted_close,total_return_index,cash_dividend,split_ratio,split_adjusted_open,split_adjusted_high,split_adjusted_low,split_adjusted_close,gross_return,trading_value,nav,issuer_market_price,official_close,official_close_source,close_difference,margin_balance,short_balance,institutional_net,foreign_net,trust_net,dealer_net,institutional_available,outstanding_units,distribution_yield_ttm,feature_available_date
2008-06-26,49.92,49.99,49.34,49.58,33.87,15800,0.6831383622428399,34.10226704316257,34.15008672851957,33.706046793061724,33.87,100.0,0.0,1.0,49.92,49.99,49.34,49.58,1.0,783364.0,49.58,49.58,49.58,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,2008-06-27
2008-06-27,51.45,51.45,49.26,49.5,33.82,26800,0.6832323232323232,35.15230303030303,35.15230303030303,33.65602424242424,33.82,99.85237673457338,0.0,1.0,51.45,51.45,49.26,49.5,0.9985237673457338,1326600.0,49.5,49.5,49.5,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,2008-06-30
2008-06-30,51.72,51.72,49.36,49.54,33.85,23900,0.6832862333467905,35.33956398869601,35.33956398869601,33.72700847799758,33.85,99.94095069382935,0.0,1.0,51.72,51.72,49.36,49.54,1.0008870490833826,1184006.0,49.54,49.54,49.54,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,2008-07-01
2008-07-01,49.13,49.6,47.74,49.1,33.55,55100,0.6832993890020366,33.570498981670056,33.89164969450101,32.620712830957224,33.55,99.05521110126955,0.0,1.0,49.13,49.6,47.74,49.1,0.9911373707533233,2705410.0,49.1,49.1,49.1,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,2008-07-02
2008-07-02,49.54,49.69,48.38,48.38,33.05,74700,0.6831335262505166,33.84243489045059,33.944904919388165,33.05,33.05,97.57897844700324,0.0,1.0,49.54,49.69,48.38,48.38,0.9850968703427719,3613986.0,48.38,48.38,48.38,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,2008-07-03
2008-07-03,48.77,48.81,48.06,48.51,33.14,17600,0.6831581117295403,33.31762110904968,33.34494743351887,32.83257884972171,33.14,97.8447003247712,0.0,1.0,48.77,48.81,48.06,48.51,1.0027231467473525,853776.0,48.51,48.51,48.51,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,2008-07-07
2008-07-07,48.78,48.8,47.8,48.41,33.07,55500,0.6831233216277629,33.32275562900227,33.33641809543483,32.65329477380706,33.07,97.6380277531739,0.0,1.0,48.78,48.8,47.8,48.41,0.9978877489438744,2686755.0,48.41,48.41,48.41,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,2008-07-08
2008-07-08,48.12,48.56,47.17,48.5,33.14,54300,0.6832989690721649,32.880346391752575,33.18099793814433,32.23121237113402,33.14,97.8447003247712,0.0,1.0,48.12,48.56,47.17,48.5,1.0021167221046265,2633550.0,48.5,48.5,48.5,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,2008-07-09
2008-07-09,49.39,49.39,47.9,47.94,32.75,28900,0.6831455986649979,33.74056111806425,33.74056111806425,32.722674176053395,32.75,96.69323885444346,0.0,1.0,49.39,49.39,47.9,47.94,0.988231744115872,1385466.0,47.94,47.94,47.94,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,2008-07-10
2008-07-10,48.31,48.31,47.6,47.86,32.7,20800,0.6832427914751359,33.00745925616382,33.00745925616382,32.52235687421647,32.7,96.54561558901685,0.0,1.0,48.31,48.31,47.6,47.86,0.9984732824427481,995488.0,47.86,47.86,47.86,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,2008-07-11
2008-07-11,48.25,48.25,47.19,47.65,32.56,22500,0.6833158447009444,32.96998950682057,32.96998950682057,32.245674711437566,32.56,96.13227044582227,0.0,1.0,48.25,48.25,47.19,47.65,0.9957186544342508,1072125.0,47.65,47.65,47.65,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,2008-07-14
2008-07-14,48.8,48.8,47.28,47.49,32.45,37900,0.6833017477363655,33.345125289534636,33.345125289534636,32.30650663297536,32.45,95.80749926188369,0.0,1.0,48.8,48.8,47.28,47.49,0.9966216216216216,1799871.0,47.49,47.49,47.49,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,2008-07-15
2008-07-15,47.07,47.44,46.34,46.76,31.95,24800,0.6832763045337896,32.16181565440548,32.41462788708298,31.663023952095813,31.95,94.33126660761737,0.0,1.0,47.07,47.44,46.34,46.76,0.9845916795069336,1159648.0,46.76,46.76,46.76,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,2008-07-16
2008-07-16,46.85,47.72,46.59,47.72,32.6,23700,0.683151718357083,32.00565800502934,32.6,31.828038558256498,32.6,96.25036905816357,0.0,1.0,46.85,47.72,46.59,47.72,1.0203442879499218,1130964.0,47.72,47.72,47.72,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,2008-07-17
