date,open,high,low,close,adj_close,volume,adjustment_factor,adjusted_open,adjusted_high,adjusted_low,adjusted_close,total_return_index,cash_dividend,split_ratio,split_adjusted_open,split_adjusted_high,split_adjusted_low,split_adjusted_close,gross_return,trading_value,nav,issuer_market_price,official_close,official_close_source,close_difference,margin_balance,short_balance,institutional_net,foreign_net,trust_net,dealer_net,institutional_available,outstanding_units,distribution_yield_ttm,feature_available_date,ret_1,ret_5,ret_20,ret_60,ma_gap_20,ma_gap_60,rsi_14,bollinger_z_20,drawdown_60,volatility_20,volume_z_20,premium_discount,dividend_yield_ttm,margin_change_5,short_change_5,institutional_net_ratio,institutional_data_available,fund_flow_5,trading_day,month_progress,weekday_sin,weekday_cos
2008-06-26,49.92,49.99,49.34,49.58,33.87,15800,0.6831383622428399,34.10226704316257,34.15008672851957,33.706046793061724,33.87,100.0,0.0,1.0,49.92,49.99,49.34,49.58,1.0,783364.0,49.58,49.58,49.58,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,2008-06-27,,,,,,,,,,,,,,,,,,,1,0.8666666666666667,-0.587785252292473,-0.8090169943749475
2008-06-27,51.45,51.45,49.26,49.5,33.82,26800,0.6832323232323232,35.15230303030303,35.15230303030303,33.65602424242424,33.82,99.85237673457338,0.0,1.0,51.45,51.45,49.26,49.5,0.9985237673457338,1326600.0,49.5,49.5,49.5,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,2008-06-30,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,2,0.9,-0.9510565162951536,0.30901699437494723
2008-06-30,51.72,51.72,49.36,49.54,33.85,23900,0.6832862333467905,35.33956398869601,35.33956398869601,33.72700847799758,33.85,99.94095069382936,0.0,1.0,51.72,51.72,49.36,49.54,1.0008870490833826,1184006.0,49.54,49.54,49.54,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,2008-07-01,-0.0014762326542662185,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,3,1.0,0.0,1.0
2008-07-01,49.13,49.6,47.74,49.1,33.55,55100,0.6832993890020366,33.570498981670056,33.89164969450101,32.620712830957224,33.55,99.05521110126956,0.0,1.0,49.13,49.6,47.74,49.1,0.9911373707533232,2705410.0,49.1,49.1,49.1,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,2008-07-02,0.0008870490833825517,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,1,0.03225806451612903,0.9510565162951535,0.30901699437494745
2008-07-02,49.54,49.69,48.38,48.38,33.05,74700,0.6831335262505166,33.84243489045059,33.944904919388165,33.05,33.05,97.57897844700324,0.0,1.0,49.54,49.69,48.38,48.38,0.985096870342772,3613986.0,48.38,48.38,48.38,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,2008-07-03,-0.00886262924667669,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,2,0.06451612903225806,0.5877852522924732,-0.8090169943749473
2008-07-03,48.77,48.81,48.06,48.51,33.14,17600,0.6831581117295403,33.31762110904968,33.34494743351887,32.83257884972171,33.14,97.8447003247712,0.0,1.0,48.77,48.81,48.06,48.51,1.0027231467473523,853776.0,48.51,48.51,48.51,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,2008-07-07,-0.014903129657228176,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,3,0.0967741935483871,-0.587785252292473,-0.8090169943749475
2008-07-07,48.78,48.8,47.8,48.41,33.07,55500,0.6831233216277629,33.32275562900227,33.33641809543483,32.65329477380706,33.07,97.6380277531739,0.0,1.0,48.78,48.8,47.8,48.41,0.9978877489438744,2686755.0,48.41,48.41,48.41,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,2008-07-08,0.002723146747352745,-0.021552996752288056,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,4,0.22580645161290322,0.0,1.0
2008-07-08,48.12,48.56,47.17,48.5,33.14,54300,0.6832989690721649,32.880346391752575,33.18099793814433,32.23121237113402,33.14,97.8447003247712,0.0,1.0,48.12,48.56,47.17,48.5,1.0021167221046263,2633550.0,48.5,48.5,48.5,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,2008-07-09,-0.002112251056125669,-0.02217622708456546,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,5,0.25806451612903225,0.9510565162951535,0.30901699437494745
2008-07-09,49.39,49.39,47.9,47.94,32.75,28900,0.6831455986649979,33.74056111806425,33.74056111806425,32.722674176053395,32.75,96.69323885444346,0.0,1.0,49.39,49.39,47.9,47.94,0.988231744115872,1385466.0,47.94,47.94,47.94,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,2008-07-10,0.002116722104626767,-0.020974889217134418,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,6,0.2903225806451613,0.5877852522924732,-0.8090169943749473
2008-07-10,48.31,48.31,47.6,47.86,32.7,20800,0.6832427914751359,33.00745925616382,33.00745925616382,32.52235687421647,32.7,96.54561558901683,0.0,1.0,48.31,48.31,47.6,47.86,0.998473282442748,995488.0,47.86,47.86,47.86,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,2008-07-11,-0.011768255884127998,-0.023845007451564815,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,7,0.3225806451612903,-0.587785252292473,-0.8090169943749475
