month,oracle_date,oracle_open,oracle_adjusted_open,oracle_trading_day,days_in_month
2008-07,2008-07-16,46.85,32.00565800502934,11,22
2008-08,2008-08-25,46.2,31.562376237623763,17,21
2008-09,2008-09-18,41.01,28.0235,13,21
2008-10,2008-10-27,29.87,20.410659191301395,19,23
2008-11,2008-11-21,28.01,19.14163009404389,15,19
2008-12,2008-12-05,29.56,20.19788856304985,5,22
2009-01,2009-01-21,28.76,19.777293333333333,13,20
2009-02,2009-02-27,26.77,18.40689097744361,19,19
2009-03,2009-03-09,24.77,17.035693877551022,6,22
2009-04,2009-04-01,28.29,19.45655277401894,1,21
2009-05,2009-05-01,32.74,22.51498476538696,1,20
2009-06,2009-06-23,34.65,23.83003769208466,17,22
2009-07,2009-07-10,34.01,23.38748022267799,7,22
2009-08,2009-08-19,38.27,26.31739387702599,13,21
2009-09,2009-09-02,38.91,26.759961607371384,2,21
2009-10,2009-10-02,40.26,27.688030489304158,2,22
2009-11,2009-11-03,40.78,28.039956374212316,2,20
2009-12,2009-12-18,43.03,29.59063023255814,14,22
2010-01,2010-01-29,41.58,29.03176815847395,19,19
2010-02,2010-02-08,39.99,27.92284210526316,6,19
2010-03,2010-03-01,41.9,29.25338399430064,1,23
2010-04,2010-04-28,44.38,30.98662440570523,19,21
2010-05,2010-05-25,38.47,26.856229550102253,17,20
2010-06,2010-06-08,38.59,26.94595554420031,6,22
2010-07,2010-07-01,39.01,27.235854097097352,1,21
2010-08,2010-08-25,40.39,28.20241939453605,18,22
2010-09,2010-09-01,41.54,29.001861461556768,1,21
2010-10,2010-10-04,44.95,31.38966480446928,2,21
2010-11,2010-11-30,45.03,31.439416703490945,21,21
2010-12,2010-12-01,46.15,32.22148858250753,1,22
2011-01,2011-01-10,47.46,33.782881820096904,6,20
2011-02,2011-02-01,48.89,34.799864399919045,1,19
2011-03,2011-03-15,46.56,33.13659009483668,11,23
2011-04,2011-04-18,49.34,35.1154043071922,12,20
2011-05,2011-05-25,49.03,34.89817354368932,18,21
2011-06,2011-06-16,47.81,34.02846975088968,12,22
2011-07,2011-07-29,48.96,34.84747199022204,20,20
2011-08,2011-08-11,42.33,30.132567659768025,9,23
2011-09,2011-09-23,40.1,28.54275166133399,16,21
2011-10,2011-10-04,39.08,27.81343231873299,2,21
2011-11,2011-11-25,41.02,29.2,18,21
2011-12,2011-12-19,42.91,30.54421040189125,13,21
2012-01,2012-01-09,43.61,31.78186324001836,5,20
2012-02,2012-02-01,46.07,33.57711717565519,1,20
2012-03,2012-03-07,46.56,33.93137003841229,5,22
2012-04,2012-04-24,46.61,33.96341244387427,16,20
2012-05,2012-05-21,43.47,31.679021074099246,15,22
2012-06,2012-06-05,42.5,30.97592332865825,3,21
2012-07,2012-07-25,44.54,32.46203603603603,17,21
2012-08,2012-08-02,45.54,33.1920396475771,2,23
2012-09,2012-09-05,47.06,34.29915355168014,2,19
2012-10,2012-10-23,47.82,35.265871251834774,17,21
2012-11,2012-11-16,46.28,34.13312324627671,12,21
2012-12,2012-12-05,48.41,35.70673738414006,3,20
2013-01,2013-01-09,50.12,37.377965359347,6,21
2013-02,2013-02-27,50.7,37.81268017140631,18,19
2013-03,2013-03-01,51.0,38.03406657582247,1,20
2013-04,2013-04-05,51.11,38.23609402205456,5,22
2013-05,2013-05-02,53.29,39.8705096135897,2,22
2013-06,2013-06-24,50.21,37.8903710353082,16,20
2013-07,2013-07-03,51.4,38.7909530253238,3,22
2013-08,2013-08-28,52.99,39.98454322847994,20,22
2013-09,2013-09-04,53.47,40.34816224243549,2,20
2013-10,2013-10-09,55.07,41.73398870262391,7,23
2013-11,2013-11-08,56.9,43.120769498607245,6,20
2013-12,2013-12-13,57.18,43.34095688748685,10,21
2014-01,2014-01-31,56.65,43.21608527131782,21,21
2014-02,2014-02-04,55.9,42.64505259404528,2,19
2014-03,2014-03-14,58.4,44.54846206425154,10,21
2014-04,2014-04-14,58.68,45.02026186022785,10,21
2014-05,2014-05-05,60.0,46.03053435114504,3,21
2014-06,2014-06-04,61.4,47.10492282696994,3,21
2014-07,2014-07-10,61.74,47.7181334622824,7,22
2014-08,2014-08-08,60.2,46.52584417723604,6,21
2014-09,2014-09-29,60.23,46.773619976848025,20,21
2014-10,2014-10-16,55.94,43.44224292494287,12,23
2014-11,2014-11-04,60.58,47.04435960998182,2,19
2014-12,2014-12-16,58.24,45.23010457740442,12,22
2015-01,2015-01-16,58.63,45.81701716016151,11,20
2015-02,2015-02-02,59.52,46.50962122476223,1,19
2015-03,2015-03-11,60.68,47.4194053518335,8,22
2015-04,2015-04-01,61.79,48.525653091027095,1,21
2015-05,2015-05-07,62.81,49.32508568708347,5,20
2015-06,2015-06-09,62.36,48.97282594733461,7,22
2015-07,2015-07-09,60.51,47.86492300049677,6,22
2015-08,2015-08-24,54.7,43.27074053956184,16,21
2015-09,2015-09-29,54.43,43.26564201618837,20,21
2015-10,2015-10-02,55.15,43.84068531963874,2,22
2015-11,2015-11-16,57.78,45.93756923076924,11,20
2015-12,2015-12-14,57.0,45.31795051763468,10,22
