date,open,high,low,close,adj_close,volume,adjustment_factor,adjusted_open,adjusted_high,adjusted_low,adjusted_close,total_return_index,cash_dividend,split_ratio,split_adjusted_open,split_adjusted_high,split_adjusted_low,split_adjusted_close,gross_return,trading_value,nav,issuer_market_price,official_close,official_close_source,close_difference,margin_balance,short_balance,institutional_net,foreign_net,trust_net,dealer_net,institutional_available,outstanding_units,distribution_yield_ttm,feature_available_date,ret_1,ret_5,ret_20,ret_60,ma_gap_20,ma_gap_60,rsi_14,bollinger_z_20,drawdown_60,volatility_20,volume_z_20,premium_discount,dividend_yield_ttm,margin_change_5,short_change_5,institutional_net_ratio,institutional_data_available,fund_flow_5,trading_day,month_progress,weekday_sin,weekday_cos,month,days_in_month,oracle_adjusted_open,oracle_date,regret,is_oracle,near_optimal,remaining_min_adjusted_open,previous_adjusted_close,remaining_min_log_ratio,tsm_lead_ret,sox_lead_ret,usd_twd_up,usd_twd_up_streak3,tsm_dump,sox_dump,tsm_dump_1pct,tsm_not_dump,fx_not_depreciating,fx_not_up,near_probability,predicted_remaining_log_ratio,reservation_adjusted,reservation_raw,training_through,feature_set,analysis_signature,forced,strategy
2013-07-31,54.24,54.57,54.12,54.17,40.88,134300,0.7546612516152852,40.93282628761307,41.181864500646114,40.84226693741923,40.88,120.69678181281373,0.0,1.0,54.24,54.57,54.12,54.17,1.0012245897624297,7275031.0,54.17,54.17,54.17,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0321618423269893,2013-08-01,-0.000734214390602,-0.0099418040737148,0.0418474100535852,0.0078992841273759,0.0089453395275278,0.0157095414007986,71.08433734939771,0.4826254843835566,-0.014720077220077,0.0942896921356228,-0.5505135014910142,0.0,0.0321975050610425,,,0.0,0.0,0.0,22,1.0,0.5877852522924732,-0.8090169943749473,2013-07,22,38.7909530253238,2013-07-03,0.0552157937674537,False,False,40.93282628761307,40.83,0.0025152345262972,0.0164880461665291,0.0119582100985167,1.0,0.0,False,False,False,True,True,False,0.3292214630879149,-0.0007138706907022,41.0048673762441,54.33546149146631,2013-06,technical_calendar,ba5fee639dad4dc54839faefdc40c3d8ff99f8d74856e0890ae3c45c887d153a,True,technical_calendar
2013-08-27,53.5,53.51,52.97,53.01,40.0,343300,0.7545746085644218,40.369741558196566,40.37728730428221,39.96981701565743,40.0,118.098612341305,0.0,1.0,53.5,53.51,52.97,53.01,0.9823182711198428,18198333.0,53.01,53.01,53.01,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0328656291049426,2013-08-28,-0.0046443412368613,0.0034499753573187,-0.0034263338228096,0.0195292939409112,-0.0082201790172318,0.0113168809450878,41.58730158730151,-0.9373237259545966,-0.0197400096292729,0.1012124200148792,2.7283216343043377,0.0,0.0322870088742218,,,0.0,0.0,0.0,19,0.8709677419354839,0.9510565162951536,0.3090169943749474,2013-08,22,39.98454322847994,2013-08-28,0.0096336808830232,False,False,39.98454322847994,40.72,-0.0182264120955043,0.002546689303905,-0.0019404079168642,0.0,0.0,False,True,False,True,True,True,0.5744728962383973,-0.0038200906809942,40.76756635808903,54.02721731605748,2013-07,technical_calendar,ba5fee639dad4dc54839faefdc40c3d8ff99f8d74856e0890ae3c45c887d153a,False,technical_calendar
2013-09-30,55.19,55.66,55.19,55.55,42.1,298300,0.757875787578758,41.82716471647165,42.18336633663367,41.82716471647165,42.1,124.29878948922352,0.0,1.0,55.19,55.66,55.19,55.55,0.993862134088763,16570565.0,55.55,55.55,55.55,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0252363567921132,2013-10-01,-0.0032941176470587,-0.0042313117066291,0.0568862275449102,0.0850409836065575,0.0134456194076273,0.0299218724673389,65.58441558441558,0.6416486769573689,-0.016256386437529,0.109859434991165,-0.0253349871812598,0.0,0.0250828344927874,,,0.0,0.0,0.0,20,1.0,0.0,1.0,2013-09,20,40.34816224243549,2013-09-04,0.0366560059204044,False,False,41.82716471647165,42.36,-0.012658518679099,-0.0143084260731319,-0.0078834064401366,0.0,0.0,True,True,True,False,True,True,0.3335555022278317,3.842701504734068e-05,42.5734359386311,56.17468803778996,2013-08,technical_calendar,ba5fee639dad4dc54839faefdc40c3d8ff99f8d74856e0890ae3c45c887d153a,True,technical_calendar
2013-10-07,55.35,55.61,55.23,55.36,41.96,228000,0.7579479768786127,41.952420520231215,42.14948699421965,41.86146676300578,41.96,123.88544434602896,0.0,1.0,55.35,55.61,55.23,55.36,0.9919621749408984,12622080.0,55.36,55.36,55.36,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0253229700108723,2013-10-08,0.0042735042735042,-0.0014164305949009,0.0357492654260529,0.0403344810624692,0.0012426770814839,0.023337580439656,52.84280936454856,0.1365924805143674,-0.0176497909893172,0.1109011635185228,0.6758902925348441,0.0,0.0251187891023452,,,0.0,0.0,0.0,5,0.2258064516129032,0.0,1.0,2013-10,23,41.73398870262391,2013-10-09,0.0052339070478919,False,False,41.73398870262391,42.3,-0.0134712124406514,-0.0015552099533436,0.0079384366140138,0.0,0.0,True,False,False,False,True,True,0.5424382720333532,-0.0126995465032317,41.97503685811404,55.37983890527153,2013-09,technical_calendar,ba5fee639dad4dc54839faefdc40c3d8ff99f8d74856e0890ae3c45c887d153a,False,technical_calendar
2013-11-29,58.53,58.74,58.49,58.5,44.34,203100,0.757948717948718,44.36273846153846,44.52190769230769,44.33242051282052,44.34,130.91231178033658,0.0,1.0,58.53,58.74,58.49,58.5,1.000677048070413,11881350.0,58.5,58.5,58.5,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0239637541846477,2013-12-02,0.0038513819664705,0.0109514031485282,0.0095693779904306,0.0900369003690038,0.0104211798508653,0.030185608555818,73.27935222672062,1.4606454747881414,0.0,0.0898575822912713,0.4226825907281996,0.0,0.0239801508690025,,,0.0,0.0,0.0,20,0.9666666666666668,-0.9510565162951536,0.3090169943749472,2013-11,20,43.120769498607245,2013-11-08,0.028802105745616,False,False,44.36273846153846,44.31,0.001189508042086,0.0070977917981072,0.0033246773685866,0.0,0.0,False,False,False,True,True,True,0.2602290010609218,-0.0025857575513722,44.41655095221629,58.60099753506208,2013-10,technical_calendar,ba5fee639dad4dc54839faefdc40c3d8ff99f8d74856e0890ae3c45c887d153a,True,technical_calendar
2013-12-31,59.3,59.44,59.21,59.4,45.31,593400,0.7627946127946128,45.23372053872054,45.34051178451178,45.16506902356903,45.31,133.77620312961324,0.0,1.0,59.3,59.44,59.21,59.4,1.0039884777309993,35247960.0,59.4,59.4,59.4,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0205021067037313,2014-01-02,0.002666074205732,0.0198870056497175,0.0178168696436626,0.071462488129155,0.0251226603670726,0.0329988936787088,68.10631229235892,1.9630984853037388,0.0,0.0989713758648002,-0.4051364857915032,0.0,0.0205852795503995,,,0.0,0.0,0.0,21,1.0,0.9510565162951536,0.3090169943749474,2013-12,21,43.34095688748685,2013-12-13,0.0436714781389646,False,False,45.23372053872054,45.13,0.0022956244752175,0.0183413078149921,0.0030379651294436,0.0,0.0,False,False,False,True,True,True,0.2136950598604524,0.0003471436828546,45.37139766057156,59.48049042237808,2013-11,technical_calendar,ba5fee639dad4dc54839faefdc40c3d8ff99f8d74856e0890ae3c45c887d153a,True,technical_calendar
2014-01-24,58.17,58.19,57.19,57.19,43.63,792900,0.7628956111208254,44.37763769889841,44.39289561112083,43.63,43.63,128.81606141127844,0.0,1.0,58.17,58.19,57.19,57.19,0.974318892362662,45345951.0,57.19,57.19,57.19,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0212943720615778,2014-01-27,-0.0092920353982299,-0.0073154511194856,0.0040358744394619,0.0186533212010919,-0.0028058611321426,0.0130534126642989,52.69230769230786,-0.5854199505216442,-0.0116971970867357,0.0923766217022726,0.862652866882998,0.0,0.0207430614580418,,,0.0,0.0,0.0,16,0.7741935483870968,-0.9510565162951536,0.3090169943749472,2014-01,21,43.21608527131782,2014-01-31,0.0268777798888577,False,False,43.21608527131782,44.78,-0.0355488409799914,-0.0138036809815951,-0.0109229729482894,1.0,0.0,True,True,True,False,True,False,0.5230022123267037,-0.0080263418172282,44.644129069158105,58.519315642107536,2013-12,technical_calendar,ba5fee639dad4dc54839faefdc40c3d8ff99f8d74856e0890ae3c45c887d153a,False,technical_calendar
2014-02-28,59.76,60.03,59.41,59.72,45.56,370700,0.7628935030140657,45.590515740120566,45.79649698593436,45.32350301406564,45.56,134.5143194567464,0.0,1.0,59.76,60.03,59.41,59.72,1.0028615452344267,22138204.0,59.72,59.72,59.72,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0203922494675425,2014-03-03,0.0035343494588027,0.0077639751552796,0.0489494343107825,0.0245827695083447,0.0251376478021481,0.0250065806791262,85.01742160278756,1.1872150382953848,0.0,0.1272350222576665,-0.6751803437091134,0.0,0.0204470305272269,,,0.0,0.0,0.0,19,1.0,-0.9510565162951536,0.3090169943749472,2014-02,19,42.64505259404528,2014-02-04,0.0690692815908631,False,False,45.590515740120566,45.43,0.0035270269612417,0.01003861003861,-0.0001240496907617,0.0,0.0,False,True,False,True,True,True,0.203460463123302,-0.0033957034365188,45.50237479291812,59.64446493926844,2014-01,technical_calendar,ba5fee639dad4dc54839faefdc40c3d8ff99f8d74856e0890ae3c45c887d153a,True,technical_calendar
2014-03-27,58.64,58.94,58.56,58.79,45.1,245000,0.7671372682428985,44.984929409763566,45.21507059023644,44.92355842830414,45.1,133.15618541482138,0.0,1.0,58.64,58.94,58.56,58.79,1.0024449877750612,14403550.0,58.79,58.79,58.79,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0237332212859094,2014-03-28,-0.0039849457604603,0.0015583259127338,-0.0061851115529046,-0.0004443457009551,-0.0056359818764502,0.0059550871648865,34.93589743589753,-0.6897562416993126,-0.0204659264097538,0.1144021111627851,-0.0428392190929603,0.0,0.023793930412664,,,0.0,0.0,0.0,19,0.8709677419354839,-0.587785252292473,-0.8090169943749475,2014-03,21,44.54846206425154,2014-03-14,0.0097975850408149,False,False,44.984929409763566,44.99,-0.0001127111802157,-0.0014398848092153,-0.0111067376311331,1.0,0.0,True,True,False,False,True,False,0.5145585230934785,-0.0042251001757915,45.02431531571801,58.69134140601024,2014-02,technical_calendar,ba5fee639dad4dc54839faefdc40c3d8ff99f8d74856e0890ae3c45c887d153a,False,technical_calendar
2014-04-30,59.85,60.16,59.71,60.11,46.11,1324700,0.7670936616203626,45.910555647978704,46.14835468308101,45.80316253535185,46.11,136.13817537643934,0.0,1.0,59.85,60.16,59.71,60.11,1.0034820457018498,79627717.0,60.11,60.11,60.11,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0232120459058163,2014-05-01,0.0050306211723534,-0.0013040643338405,0.0037134119702926,0.0612009237875288,0.0058115991200515,0.0178314320522758,55.466666666666704,0.7177124091153848,-0.0049805110437419,0.1132430833623967,-0.9243346356056656,0.0,0.0232973130639275,,,0.0,0.0,0.0,21,1.0,0.5877852522924732,-0.8090169943749473,2014-04,21,45.02026186022785,2014-04-14,0.0197754022514331,False,False,45.910555647978704,45.95,-0.0008587876301705,-0.0094979647218453,0.007809339547973,0.0,0.0,True,False,False,False,True,True,0.3080213801196306,0.0008195526732806,46.217612250499,60.25028567290165,2014-03,technical_calendar,ba5fee639dad4dc54839faefdc40c3d8ff99f8d74856e0890ae3c45c887d153a,True,technical_calendar
