date,open,high,low,close,volume,trading_value,price_change,transactions,cash_dividend,split_ratio,gross_return,total_return_index,adjusted_close,adjustment_factor,adjusted_open,adjusted_high,adjusted_low,split_adjusted_open,split_adjusted_high,split_adjusted_low,split_adjusted_close,nav,issuer_market_price,fund_size,outstanding_units,margin_balance,short_balance,institutional_net,foreign_net,trust_net,dealer_net,official_close,close_difference,institutional_available,distribution_yield_ttm,feature_available_date,official_close_source,ret_1,ret_5,ret_20,ret_60,ma_gap_20,ma_gap_60,rsi_14,bollinger_z_20,drawdown_60,volatility_20,volume_z_20,premium_discount,dividend_yield_ttm,margin_change_5,short_change_5,institutional_net_ratio,institutional_data_available,fund_flow_5,trading_day,month_progress,weekday_sin,weekday_cos,month,days_in_month,oracle_adjusted_open,oracle_date,regret,is_oracle,near_optimal,remaining_min_adjusted_open,previous_adjusted_close,remaining_min_log_ratio,near_probability,predicted_remaining_log_ratio,reservation_adjusted,reservation_raw,training_through,feature_set,analysis_signature
2008-07-01,55.35,55.85,54.9,54.9,10473152,579146671,-0.1,2398,0.0,1.0,0.9981818181818182,171.70866440620773,7.653271583507927,0.1394038539801079,7.716003317798976,7.78570524478903,7.653271583507927,13.8375,13.9625,13.725,13.725,54.81,54.9,52317259315.0,954500000.0,23028,3258,0.0,0.0,0.0,0.0,54.9,0.0,False,0.0455373406193078,2008-07-02,YUANTA_ETF_NAV_HISTORY,-0.004524886877828038,-0.04097646033129887,-0.12140575079872207,-0.1013071895424843,-0.06755954903789085,-0.11136244294542952,23.59550561797738,-1.822215352263258,-0.1622239146991622,0.21406197994065204,-0.2910849651848547,-0.007578491519307118,0.0454545454545454,0.1670427681065978,0.00920447074293218,0.0,0.0,0.19322709163346619,1,0.03225806451612903,0.9510565162951535,0.30901699437494745,2008-07,22,6.99807346980142,2008-07-16,0.10258964143426308,False,False,6.99807346980142,7.667211968905939,-0.09131815853478753,0.9041426282046742,-0.027768416316741037,7.494520670732609,53.76121575377702,2008-06,all,0c8176dbe460617de3ee512bbcfae6ce17e4220c9cc72d6079e6a13f5aa65f8c
2008-07-02,54.9,55.35,54.2,54.3,24648682,1351158912,-0.6,4035,0.0,1.0,0.989071038251366,169.8320669810033,7.569629271119864,0.139403853980108,7.65327158350793,7.716003317798979,7.555688885721855,13.725,13.8375,13.55,13.575,54.05,54.3,52696700795.0,975000000.0,26085,2573,0.0,0.0,0.0,0.0,54.3,0.0,False,0.0460405156537753,2008-07-03,YUANTA_ETF_NAV_HISTORY,-0.0018181818181818299,-0.035149384885764356,-0.10876623376623362,-0.11736334405144733,-0.06393861892583119,-0.11123102866779089,21.59090909090901,-1.6504057195953938,-0.16374714394516365,0.21163906932873122,-0.3363863008449705,0.0016420361247946325,0.0455373406193078,0.21545444948801862,0.057448880233690325,0.0,0.0,0.17260442260442255,2,0.06451612903225806,0.5877852522924732,-0.8090169943749473,2008-07,22,6.99807346980142,2008-07-16,0.09362549800796849,False,False,6.99807346980142,7.653271583507927,-0.08949832181780137,0.8787754909253914,-0.02955763340368083,7.467521292807277,53.5675383398858,2008-06,all,0c8176dbe460617de3ee512bbcfae6ce17e4220c9cc72d6079e6a13f5aa65f8c
2008-07-03,53.4,54.35,52.35,54.2,19027128,1012194972,-0.1,4452,0.0,1.0,0.9981583793738492,169.51930074346924,7.555688885721854,0.139403853980108,7.444165802537767,7.576599463818869,7.297791755858653,13.35,13.5875,13.0875,13.55,53.81,54.2,52839932337.0,982000000.0,27886,2748,0.0,0.0,0.0,0.0,54.2,0.0,False,0.0461254612546125,2008-07-04,YUANTA_ETF_NAV_HISTORY,-0.010928961748633781,-0.05565217391304311,-0.12135922330097049,-0.11850649350649389,-0.06821106821106804,-0.11920950540018105,23.89937106918228,-1.6992572372038313,-0.17288651942117272,0.20980446482290102,1.9843351739934716,0.0046253469010175685,0.0460405156537753,0.3364586535505687,-0.051952837140751607,0.0,0.0,0.1919315403422983,3,0.0967741935483871,-0.587785252292473,-0.8090169943749475,2008-07,22,6.99807346980142,2008-07-16,0.06374501992031889,False,False,6.99807346980142,7.569629271119864,-0.07850920024220652,0.8709945593903159,-0.02955763340368083,7.3859090382410795,52.98210076240073,2008-06,all,0c8176dbe460617de3ee512bbcfae6ce17e4220c9cc72d6079e6a13f5aa65f8c
2008-07-04,54.15,54.15,52.6,52.6,11288474,602729808,-1.6,2876,0.0,1.0,0.970479704797048,164.51504094292403,7.332642719353681,0.139403853980108,7.548718693022849,7.548718693022849,7.332642719353682,13.5375,13.5375,13.15,13.15,52.67,52.6,52482211519.0,996500000.0,28942,2474,0.0,0.0,0.0,0.0,52.6,0.0,False,0.0475285171102661,2008-07-07,YUANTA_ETF_NAV_HISTORY,-0.0018416206261508972,-0.049956178790534156,-0.13556618819776656,-0.12012987012987042,-0.06309420916162456,-0.11906922566401623,20.12987012987014,-1.6095154801049845,-0.17440974866717418,0.1964425406994452,0.9232920370530406,0.007247723471473622,0.0461254612546125,0.40745974864987633,0.08231587239070493,0.0,0.0,0.17816436712657469,4,0.12903225806451613,-0.9510565162951536,0.30901699437494723,2008-07,22,6.99807346980142,2008-07-16,0.0786852589641438,False,False,6.99807346980142,7.555688885721854,-0.07666588174791737,0.8546077225371844,-0.02955763340368083,7.37230699581338,52.884527832819884,2008-06,all,0c8176dbe460617de3ee512bbcfae6ce17e4220c9cc72d6079e6a13f5aa65f8c
2008-07-07,52.5,53.6,52.35,53.55,5969107,315564042,0.95,1532,0.0,1.0,1.018060836501901,167.48632019949773,7.465076380634783,0.139403853980108,7.318702333955669,7.472046573333788,7.297791755858653,13.125,13.4,13.0875,13.3875,53.56,53.55,53371037521.0,996500000.0,28705,2362,0.0,0.0,0.0,0.0,53.55,0.0,False,0.0466853408029878,2008-07-08,YUANTA_ETF_NAV_HISTORY,-0.029520295202951963,-0.047963800904977094,-0.1610845295055816,-0.1597444089456871,-0.08274479030429827,-0.14275237332101942,13.888888888888857,-2.103241090261526,-0.19878141660319848,0.208996467123464,-0.4587843975583475,-0.001329029808240012,0.0475285171102661,0.38850508539627704,-0.13587146349982537,0.0,0.0,0.11590145576707722,5,0.22580645161290322,0.0,1.0,2008-07,22,6.99807346980142,2008-07-16,0.045816733067729265,False,False,6.99807346980142,7.332642719353681,-0.046701093045980954,0.9387005317602863,-0.028170637321705883,7.164604707329913,51.39459564978924,2008-06,all,0c8176dbe460617de3ee512bbcfae6ce17e4220c9cc72d6079e6a13f5aa65f8c
2008-07-08,53.4,53.4,51.45,51.7,19758400,1033067550,-1.85,4434,0.0,1.0,0.9654528478057892,161.70014480511733,7.207179250771583,0.139403853980108,7.444165802537767,7.444165802537767,7.172328287276557,13.35,13.35,12.8625,12.925,51.62,51.7,52112562394.0,1009500000.0,29972,2700,0.0,0.0,0.0,0.0,51.7,0.0,False,0.0483558994197292,2008-07-09,YUANTA_ETF_NAV_HISTORY,0.018060836501901045,-0.026363636363636256,-0.12428454619787377,-0.15669291338582703,-0.059949091547441324,-0.1249046737117332,18.848167539266996,-1.5362440349341515,-0.1843107387661842,0.2197010024204814,-1.275271215979909,-0.00018670649738616873,0.0466853408029878,0.3215321578196215,-0.23061889250814327,0.0,0.0,0.10907067334446308,6,0.25806451612903225,0.9510565162951535,0.30901699437494745,2008-07,22,6.99807346980142,2008-07-16,0.06374501992031889,False,False,6.99807346980142,7.465076380634783,-0.0646007701960745,0.8362851065644769,-0.02955763340368083,7.283893720033329,52.25030379054436,2008-06,all,0c8176dbe460617de3ee512bbcfae6ce17e4220c9cc72d6079e6a13f5aa65f8c
2008-07-09,53.05,53.05,51.35,51.45,26636000,1393322745,-0.25,4052,0.0,1.0,0.995164410058027,160.91822921128212,7.172328287276557,0.139403853980108,7.395374453644728,7.395374453644728,7.1583879018785455,13.2625,13.2625,12.8375,12.8625,51.41,51.45,52565494958.0,1022500000.0,30348,2770,0.0,0.0,0.0,0.0,51.45,0.0,False,0.0485908649173955,2008-07-10,YUANTA_ETF_NAV_HISTORY,-0.034547152194210895,-0.05828779599271383,-0.13400335008375186,-0.1819620253164559,-0.08600724829841755,-0.15248217261823438,15.044247787610516,-2.0212098309171322,-0.21249047981721225,0.23317106542014168,1.0660046787821118,0.0015497869043008539,0.0483558994197292,0.301545944068091,-0.1712707182320442,0.0,0.0,0.05762179151388169,7,0.2903225806451613,0.5877852522924732,-0.8090169943749473,2008-07,22,6.99807346980142,2008-07-16,0.056772908366534036,False,False,6.99807346980142,7.207179250771583,-0.029442754816700143,0.9379132951967644,-0.02955763340368083,7.03225593512088,50.44520459329867,2008-06,all,0c8176dbe460617de3ee512bbcfae6ce17e4220c9cc72d6079e6a13f5aa65f8c
2008-07-10,51.3,52.2,50.9,51.7,13786015,710020181,0.25,2897,0.0,1.0,1.0048590864917395,161.7001448051173,7.207179250771582,0.1394038539801079,7.151417709179538,7.276881177761636,7.095656167587495,12.825,13.05,12.725,12.925,51.52,51.7,52757196717.0,1024000000.0,30181,2936,0.0,0.0,0.0,0.0,51.7,0.0,False,0.0483558994197292,2008-07-11,YUANTA_ETF_NAV_HISTORY,-0.004835589941973084,-0.0524861878453039,-0.1410684474123537,-0.18527315914489317,-0.08358195662822276,-0.1538756715272448,16.346153846153726,-1.8596641186706935,-0.21629855293221623,0.2302686775405155,1.9115283924468427,0.0007780587434351727,0.0485908649173955,0.1634272570442783,0.0765643218033425,0.0,0.0,0.04871794871794877,8,0.3225806451612903,-0.587785252292473,-0.8090169943749475,2008-07,22,6.99807346980142,2008-07-16,0.021912350597609542,False,False,6.99807346980142,7.172328287276557,-0.024595435582375372,0.8717512991762911,-0.02955763340368083,6.99825082905163,50.201272269346575,2008-06,all,0c8176dbe460617de3ee512bbcfae6ce17e4220c9cc72d6079e6a13f5aa65f8c
2008-07-11,51.75,53.0,51.4,52.9,16317440,850542920,1.2,2883,0.0,1.0,1.02321083172147,165.4533396555262,7.374463875547712,0.139403853980108,7.214149443470588,7.388404260945723,7.165358094577551,12.9375,13.25,12.85,13.225,52.89,52.9,54474395465.0,1030000000.0,30231,2649,0.0,0.0,0.0,0.0,52.9,0.0,False,0.0472589792060491,2008-07-14,YUANTA_ETF_NAV_HISTORY,0.004859086491739495,-0.04612546125461281,-0.11548331907613352,-0.19470404984423706,-0.07355971687124807,-0.14684122225583773,20.74468085106372,-1.5544643009105927,-0.21249047981721236,0.22555639748306516,-0.071428309022048,0.0034937888198758316,0.0483558994197292,0.08229936168686791,0.06841339155749626,0.0,0.0,0.042769857433808456,9,0.3548387096774194,-0.9510565162951536,0.30901699437494723,2008-07,22,6.99807346980142,2008-07-16,0.030876494023904577,False,False,6.99807346980142,7.207179250771582,-0.02944275481670003,0.8403149874290771,-0.02955763340368083,7.032255935120879,50.445204593298655,2008-06,all,0c8176dbe460617de3ee512bbcfae6ce17e4220c9cc72d6079e6a13f5aa65f8c
2008-07-14,52.65,53.0,52.0,52.2,11708599,614458905,-0.7,2504,0.0,1.0,0.9867674858223064,163.2639759927877,7.276881177761636,0.1394038539801079,7.339612912052684,7.388404260945722,7.249000406965614,13.1625,13.25,13.0,13.05,52.06,52.2,53986088528.0,1037000000.0,31520,2620,0.0,0.0,0.0,0.0,52.2,0.0,False,0.0478927203065134,2008-07-15,YUANTA_ETF_NAV_HISTORY,0.02321083172146987,0.00570342205323171,-0.10034013605442171,-0.18174787316318675,-0.047018555215276536,-0.1242084350813294,28.708133971291815,-0.9964917360300304,-0.19421172886519422,0.24420418986021705,0.29038242229858013,0.0001890716581585128,0.0472589792060491,0.04453735056319541,0.07073565076798705,0.0,0.0,0.03361766181635728,10,0.45161290322580644,0.0,1.0,2008-07,22,6.99807346980142,2008-07-16,0.04880478087649398,False,False,6.99807346980142,7.374463875547712,-0.05238831216657035,0.6603142283350854,-0.02391137870589184,7.236222872337832,51.90834159700059,2008-06,all,0c8176dbe460617de3ee512bbcfae6ce17e4220c9cc72d6079e6a13f5aa65f8c
